2,96591
4,79174
8,62221
16,62027
32,62582
64,63381
128,63318
256,62381
512,62624
1024,62520
2048,60215
4096,61702
8192,63319
16384,63585
32768,64985
65536,67775
131072,74120
262144,83899
524288,106254
1048576,150069
