1024,141,8,7
2048,31,12,13
4096,56,24,35
8192,106,45,90
16384,205,93,209
32768,398,193,531
65536,818,391,1267
131072,1903,834,2825
262144,3547,1783,6367
524288,6880,3741,13783
1048576,13996,10994,30340
2097152,28717,21701,64148
4194304,60961,43406,152480
