1024,2613,549
2048,2539,556
4096,2532,547
8192,2205,566
16384,2317,536
32768,2330,525
65536,2176,517
131072,2225,521
262144,2363,514
524288,2413,530
1048576,2219,559
2097152,2237,557
4194304,2397,554
8388608,2339,561
16777216,2772,568
33554432,2945,578
